Address,Zip,List Price,Close Price,Subsidy,BRs,Bas,1/2 Bas,Close Date
1377 RITTENHOUSE ST NW,20011," $489,999 "," $505,000 "," $15,000 ",3,2,1,11/26/2013
4102 5TH ST NW,20011," $649,900 "," $640,000 "," $15,750 ",3,2,1,11/29/2013
907 WEBSTER ST NW #1,20011," $299,900 "," $307,000 "," $6,140 ",2,1,0,11/30/2013
1508 VARNUM ST NW,20011," $749,900 "," $772,000 "," $22,000 ",4,3,1,11/22/2013
7054 EASTERN AVE NW #202,20012," $180,000 "," $180,000 ", $-   ,2,1,0,11/15/2013
6427 2ND PL NW,20012," $525,000 "," $495,000 ", $-   ,3,2,1,11/1/2013
6729 PINEY BRANCH RD NW,20012," $265,000 "," $285,000 ", $-   ,3,2,1,11/1/2013
1304 GERANIUM ST NW,20012," $769,500 "," $740,000 "," $2,500 ",4,2,1,11/20/2013
814 TEWKESBURY PL NW,20012," $309,900 "," $309,900 ", $-   ,3,1,1,11/20/2013
300 ASPEN ST NW #302,20012," $230,000 "," $240,501 ", $-   ,1,1,0,11/22/2013
566 BRUMMEL CT NW #566,20012," $320,000 "," $309,000 "," $9,275 ",3,2,1,11/12/2013
1629 VAN BUREN ST NW,20012," $1,275,000 "," $1,303,000 ", $-   ,6,3,1,11/8/2013
7500 12TH ST NW,20012," $549,000 "," $549,000 ", $-   ,4,2,2,11/26/2013
564 BRUMMEL CT NW #564,20012," $385,000 "," $387,000 ", $-   ,3,2,1,11/21/2013
32 UNDERWOOD PL NW,20012," $349,000 "," $349,000 "," $7,500 ",3,3,0,11/25/2013
3125 QUESADA ST NW,20015," $799,000 "," $784,500 ", $700 ,5,2,1,11/26/2013
3354 STUYVESANT PL NW,20015," $1,295,000 "," $1,250,000 ", $-   ,4,2,2,11/15/2013
3702 LIVINGSTON ST NW,20015," $1,250,000 "," $1,250,000 ", $-   ,5,3,1,11/12/2013
5441 32ND ST NW,20015," $885,000 "," $885,000 ", $-   ,4,3,0,11/13/2013
3206 NORTHAMPTON ST NW,20015," $1,475,000 "," $1,450,000 ", $-   ,6,3,1,11/22/2013
5928 BROAD BRANCH RD NW,20015," $719,000 "," $789,000 ", $-   ,3,2,0,11/26/2013
3626 JOCELYN ST NW,20015," $869,000 "," $902,600 ", $-   ,4,3,0,11/15/2013
2601 RITTENHOUSE ST NW,20015," $1,195,000 "," $1,310,000 ", $-   ,4,3,1,11/1/2013
5342 42ND PL NW,20015," $849,000 "," $849,000 ", $-   ,3,3,0,11/1/2013
5330 42ND ST NW,20015," $865,000 "," $885,000 ", $-   ,3,3,1,11/5/2013
3934 MORRISON ST NW,20015," $1,325,000 "," $1,362,000 ", $-   ,4,3,0,11/25/2013
5437 CHEVY CHASE PKWY NW,20015," $799,000 "," $805,000 ", $-   ,5,2,2,11/20/2013
5219 CHEVY CHASE PKWY NW,20015," $729,900 "," $730,000 ", $-   ,3,2,1,11/18/2013
3400 MCKINLEY ST NW,20015," $800,000 "," $800,000 ", $-   ,4,2,1,11/8/2013
5200 WATSON ST NW,20016," $1,565,000 "," $1,430,000 ", $-   ,5,2,2,11/14/2013
5332 SHERIER PL NW,20016," $1,950,000 "," $1,950,000 "," $20,000 ",5,3,1,11/20/2013
4101 CATHEDRAL AVE NW #802,20016," $110,000 "," $110,000 ", $-   ,0,1,0,11/22/2013
5343 MACARTHUR BLVD NW,20016," $1,025,000 "," $1,025,000 "," $2,500 ",4,2,1,11/15/2013
4101 CATHEDRAL AVE NW #1114,20016," $258,000 "," $251,500 ", $-   ,1,1,0,11/16/2013
4201 CATHEDRAL AVE NW #323W,20016," $410,000 "," $395,000 ", $-   ,2,2,0,11/11/2013
